"Alzheimer"	"Parkinson"	"Autism"	"Schizophrenia"
"CDC25B"	"UQCRC1"	"REN"	"GJA5"
"CDC34"	"VCP"	"RFK"	"GJA8"
"CDC6"	"VPS13A"	"RHEB"	"GP1BB"
"CDH4"	"VPS13C"	"RHOA"	"HARS1"
"CDIP1"	"VPS35"	"RICTOR"	"HIRA"
"CDIPT"	"WARS2"	"RIT2"	"HTR2A"
"CDK10"	"WDR45"	"RPTOR"	"JMJD1C"
"CDK11B"	"XPR1"	"SCN10A"	"KRT81"
"CDK12"	"BMP2"	"SCN11A"	"KRT83"
"CDK13"	"FNIP1"	"SCN1B"	"KRT86"
"CDK2"	"GAA"	"SCN2B"	"LRRK2"
"CDKN1C"	"GTPBP3"	"SCN3B"	"MED12"
"CDKN2C"	"IFNG"	"SCN4A"	"MSTO1"
"CDR2L"	"JAG2"	"SCN4B"	"MT-TE"
"CENPB"	"LAMP2"	"SCN5A"	"MT-TS2"
"CFAP410"	"MRPS14"	"SCN7A"	"MTHFR"
"CFHR2"	"MT-CO1"	"SCN9A"	"MYO7A"
"CGGBP1"	"MT-CO2"	"SESN1"	"NIPA1"
"CH25H"	"MT-CO3"	"SESN2"	"NIPA2"
"CHD1"	"MT-CYB"	"SHANK1"	"NKX2-1"
"CHFR"	"MT-ND1"	"SHANK2"	"PCDH15"
"CHMP1A"	"MT-ND4"	"SHMT1"	"PDZD7"
"CHRNA10"	"MT-ND5"	"SHMT2"	"PRODH"
"CHRNA6"	"MT-ND6"	"SIRT3"	"PSAP"
"CHST3"	"MT-TC"	"SLC17A6"	"RBM12"
"CIB1"	"MT-TF"	"SLC18A1"	"RREB1"
"CIZ1"	"MT-TH"	"SLC19A1"	"RTN4R"
"CKAP4"	"MT-TK"	"SLC25A12"	"SEC24C"
"CLASRP"	"MT-TL1"	"SLC25A13"	"SETD1A"
"CLEC2B"	"MT-TQ"	"SLC25A32"	"SHANK3"
"CLEC2D"	"MT-TS2"	"SLC25A39"	"SLC12A2"
"CLEC4M"	"MT-TV"	"SLC25A40"	"SNCA"
"CLEC7A"	"MT-TW"	"SLC32A1"	"SYN2"
"CLIP2"	"MTFMT"	"SLC46A1"	"TBX1"
"CMKLR2"	"NDUFAF1"	"SLC52A1"	"TPM2"
"CMTM6"	"PRKAG2"	"SLC52A2"	"TUBG1"
"CNOT2"	"TCAP"	"SLC52A3"	"UFD1"
"CNP"	"TNNI3"	"SLC6A1"	"UPF3B"
"COASY"	"TSC1"	"SLC6A2"	"USH1C"
"COG2"	"TSC2"	"SLC6A3"	"USH1G"
"COL18A1"	"APAF1"	"SLC6A4"	"USH2A"
"COL1A2"	"ATP5F1A"	"SNAP25"	"VPS35"
"COL21A1"	"ATP5F1B"	"SOD1"	"WFS1"
"COL4A3"	"ATP5F1C"	"SOD2"	"WHRN"
"COL4A5"	"ATP5F1D"	"SOD3"	"ZBTB20"
"COL6A2"	"ATP5F1E"	"SORBS2"	"ZDHHC9"
"COL6A3"	"ATP5MC1"	"SPR"	"ABCB7"
"COL7A1"	"ATP5MC1P5"	"STK11"	"ADGRV1"
"COLGALT2"	"ATP5MC2"	"STXBP1"	"AMACR"
"COMT"	"ATP5MC3"	"SULT1A3"	"APOL2"
"COPB1"	"ATP5PB"	"SYP"	"APOL4"
"COQ7"	"ATP5PD"	"SYT1"	"ARSA"
"CPT1B"	"ATP5PF"	"TAAR1"	"ARSG"
"CRADD"	"ATP5PO"	"TCN1"	"ARVCF"
"CREB3"	"CASP3"	"TCN2"	"ATG7"
"CREBBP"	"CASP9"	"TDO2"	"ATP2A2"
"CRHBP"	"COX4I1"	"TH"	"CAT"
"CRKL"	"COX4I2"	"TNF"	"CDH23"
"CRLF1"	"COX5A"	"TPH1"	"CEP78"
"CSK"	"COX5B"	"TPH2"	"CHI3L1"
"CSNK1A1"	"COX6A1"	"TYMS"	"CHRNA7"
"CSNK1E"	"COX6A2"	"ULK1"	"CIB2"
"CSRP2"	"COX6B1"	"VAMP2"	"CLRN1"
"CTAGE1"	"COX6B2"	"WDR45"	"CNTNAP2"
"CTBP1"	"COX6C"	"WIPI1"	"COMT"
"CTBP2"	"COX6CP3"	"WIPI2"	"DAOA"
"CTBS"	"COX7A1"	"XDH"	"DNAJC13"
"CTDSPL"	"COX7A2"	"ARC"	"DNMT3A"
"CTNNA1"	"COX7A2L"	"BDNF"	"DRD3"
"CTNNBL1"	"COX7B"	"CAMK2B"	"DSG4"
"CTNS"	"COX7B2"	"CAMK4"	"EIF4G1"
"CTRL"	"COX7C"	"EIF4EBP1"	"ESPN"
"CTSB"	"COX8A"	"GSK3B"	"FLI1"
"CTSH"	"COX8C"	"HRAS"	"FTSJ1"
"CUL5"	"CYC1"	"KRAS"	"GBA1"
"CUX1"	"CYCS"	"MAPK1"	"GIGYF2"
"CXCL2"	"GPR37"	"MAPK3"	"GJA5"
"CXXC1"	"MT-ATP6"	"NF1"	"GJA8"
"CYP2C9"	"MT-ATP8"	"NRAS"	"GP1BB"
"CYP3A4"	"MT-ND2"	"PRKAB1"	"HARS1"
"CYTH1"	"MT-ND3"	"PRKAB2"	"HIRA"
"DAAM1"	"MT-ND4L"	"PRKAG1"	"HTR2A"
"DAAM2"	"NDUFA1"	"PRKAG2"	"JMJD1C"
"DAG1"	"NDUFA10"	"PRKAG3"	"KRT81"
"DAPK3"	"NDUFA2"	"RPS6KB1"	"KRT83"
"DAZ1"	"NDUFA3"	"AARS1"	"KRT86"
"DAZAP1"	"NDUFA4"	"ABCB7"	"LRRK2"
"DAZAP2"	"NDUFA4L2"	"ACTL6B"	"MED12"
"DCAF7"	"NDUFA5"	"ADNP"	"MSTO1"
"DCLRE1C"	"NDUFA6"	"ADSL"	"MT-TE"
"DCP1A"	"NDUFA7"	"AHDC1"	"MT-TS2"
"DDR1"	"NDUFA8"	"AKT1"	"MTHFR"
"DDR2"	"NDUFA9"	"ALAD"	"MYO7A"
"DDX18"	"NDUFAB1"	"ALDH5A1"	"NIPA1"
"DDX21"	"NDUFB1"	"ALG13"	"NIPA2"
"DDX27"	"NDUFB10"	"ALG14"	"NKX2-1"
"DDX39A"	"NDUFB2"	"ANKRD11"	"PCDH15"
"DDX42"	"NDUFB3"	"AP3B2"	"PDZD7"
"DDX6"	"NDUFB4"	"ARCN1"	"PRODH"
"DEFA4"	"NDUFB5"	"ARL6"	"PSAP"
"DENND2B"	"NDUFB6"	"ARNT2"	"RBM12"
"DESI2"	"NDUFB7"	"ARVCF"	"RREB1"
"DGKG"	"NDUFB8"	"ASCC3"	"RTN4R"
"DHFR"	"NDUFB9"	"ASXL3"	"SEC24C"
"DHODH"	"NDUFC1"	"ATP1A2"	"SETD1A"
"DHRS9"	"NDUFC2"	"ATP1A3"	"SHANK3"
"DIAPH2"	"NDUFS1"	"ATP6V1A"	"SLC12A2"
"DLEU1"	"NDUFS2"	"ATRX"	"SNCA"
"DLG5"	"NDUFS3"	"BAZ1B"	"SYN2"
"DMPK"	"NDUFS4"	"BBIP1"	"TBX1"
"DMWD"	"NDUFS5"	"BBS1"	"TPM2"
"DNAJB2"	"NDUFS6"	"BBS10"	"TUBG1"
"DNAJC4"	"NDUFS7"	"BBS12"	"UFD1"
"DONSON"	"NDUFS8"	"BBS2"	"UPF3B"
"DPH1"	"NDUFV1"	"BBS4"	"USH1C"
"DPH5"	"NDUFV2"	"BBS5"	"USH1G"
"DPYSL3"	"NDUFV3"	"BBS7"	"USH2A"
"DRD2"	"PPID"	"BBS9"	"VPS35"
"DSC3"	"SDHA"	"BCKDK"	"WFS1"
"DSE"	"SDHB"	"BRD4"	"WHRN"
"DSP"	"SDHC"	"BUD23"	"ZBTB20"
"DST"	"SDHCP5"	"CACNA1A"	"ZDHHC9"
"DTNA"	"SDHD"	"CACNA1B"	"ABCB7"
"DUSP22"	"SEPTIN5"	"CACNA1C"	"ADGRV1"
"DUSP9"	"SLC18A1"	"CACNA2D1"	"AMACR"
"DUT"	"SLC25A31"	"CASZ1"	"APOL2"
"DYNLT1"	"SLC25A4"	"CDK13"	"APOL4"
"ECE1"	"SLC25A5"	"CDK19"	"ARSA"
"ECI1"	"SLC25A6"	"CELF2"	"ARSG"
"ECM2"	"UBA1"	"CEP19"	"ARVCF"
"EDAR"	"UBA7"	"CEP290"	"ATG7"
"EDF1"	"UBB"	"CFAP418"	"ATP2A2"
"EEF1A1"	"UBE2G1"	"CHD1"	"CAT"
"EEF1D"	"UBE2G2"	"CHD7"	"CDH23"
"EEF1G"	"UBE2J1"	"CHD8"	"CEP78"
"EFNA1"	"UBE2J2"	"CHRNA7"	"CHI3L1"
"EFS"	"UBE2L3"	"CLIP2"	"CHRNA7"
"EGF"	"UBE2L6"	"CLTC"	"CIB2"
"EGFR"	"UQCR10"	"CNKSR2"	"CLRN1"
"EGLN2"	"UQCR10P1"	"CNTNAP2"	"CNTNAP2"
"EHD1"	"UQCR11"	"COMT"	"COMT"
"EIF2B5"	"UQCRB"	"CREBBP"	"DAOA"
"EIF3B"	"UQCRC2"	"CYFIP2"	"DNAJC13"
"EIF4B"	"UQCRFS1"	"CYP27A1"	"DNMT3A"
"ELAC1"	"UQCRH"	"DALRD3"	"DRD3"
"ELF2"	"UQCRHL"	"DEAF1"	"DSG4"
"ELF3"	"UQCRQ"	"DHCR7"	"EIF4G1"
"ELF4"	"VDAC1"	"DHDDS"	"ESPN"
"ELK1"	"VDAC2"	"DICER1"	"FLI1"
"ELOVL6"	"VDAC2P5"	"DNAJC30"	"FTSJ1"
"ELSPBP1"	"VDAC3"	"DNM1"	"GBA1"
"EML2"	"CASP2"	"DOCK7"	"GIGYF2"
"EMP1"	"CASP6"	"DPAGT1"	"GJA5"
"ENGASE"	"CASP7"	"DPYD"	"GJA8"
"ENSG00000275616"	"CCNE1"	"DPYS"	"GP1BB"
"ENTR1"	"CCNE2"	"DYRK1A"	"HARS1"
"ENTREP1"	"DDC"	"EEF1A2"	"HIRA"
"EP400"	"EPRS1"	"EHMT1"	"HTR2A"
"EPCIP"	"MAPK11"	"EIF4A2"	"JMJD1C"
"EPOR"	"MAPK12"	"EIF4H"	"KRT81"
"EPRS1"	"MAPK13"	"ELN"	"KRT83"
"ERBB4"	"MAPK14"	"EP300"	"KRT86"
"ERCC6"	"MIR10A"	"ERI1"	"LRRK2"
"ERP44"	"MIR1224"	"EXT2"	"MED12"
"ETV7"	"MIR127"	"FBXO28"	"MSTO1"
"EVI2A"	"MIR128-1"	"FGF12"	"MT-TE"
"EVI2B"	"MIR128-2"	"FGFR1"	"MT-TS2"
"EXOSC2"	"MIR1294"	"FKBP6"	"MTHFR"
"EXOSC8"	"MIR132"	"FLCN"	"MYO7A"
"EXPH5"	"MIR136"	"FLG"	"NIPA1"
"FA2H"	"MIR16-2"	"FMR1"	"NIPA2"
"FADS3"	"MIR18A"	"FOXG1"	"NKX2-1"
"FAHD2A"	"MIR195"	"FTCD"	"PCDH15"
"FAM107A"	"MIR19A"	"FTSJ1"	"PDZD7"
"FAM193A"	"MIR19B1"	"FZR1"	"PRODH"
"FAM50A"	"MIR19B2"	"GABBR2"	"PSAP"
"FANCE"	"MIR212"	"GABRA2"	"RBM12"
"FBLN1"	"MIR26A1"	"GABRA5"	"RREB1"
"FBXL5"	"MIR26A2"	"GABRB2"	"RTN4R"
"FBXL7"	"MIR26B"	"GABRD"	"SEC24C"
"FBXO11"	"MIR30A"	"GABRG2"	"SETD1A"
"FBXO2"	"MIR30E"	"GAMT"	"SHANK3"
"FBXO9"	"MIR338"	"GATM"	"SLC12A2"
"FDFT1"	"MIR34B"	"GJA5"	"SNCA"
"FDPS"	"MIR34C"	"GJA8"	"SYN2"
"FERRY3"	"MIR370"	"GLRA2"	"TBX1"
"FEZ1"	"MIR375"	"GNB1"	"TPM2"
"FEZ2"	"MIR409"	"GP1BB"	"TUBG1"
"FGF1"	"MIR431"	"GRIA3"	"UFD1"
"FGFR1"	"MIR433"	"GRIN2D"	"UPF3B"
"FICD"	"MIR4448"	"GTF2I"	"USH1C"
"FKBP8"	"MIR485"	"GTF2IRD1"	"USH1G"
"FLNA"	"MIR503"	"GTF2IRD2"	"USH2A"
"FMO2"	"MIR873"	"H4C5"	"VPS35"
"FOLH1"	"MIRLET7G"	"HCN1"	"WFS1"
"FOXJ2"	"SYT11"	"HDAC4"	"WHRN"
"FOXN3"	"ABCA7"	"HDAC8"	"ZBTB20"
"FOXO1"	"ACBD6"	"HECTD4"	"ZDHHC9"
"FOXO3"	"ADH1C"	"HERC2"	"ABCB7"
"FRAT1"	"AFG3L2"	"HESX1"	"ADGRV1"
"FSTL3"	"ALS2"	"HIRA"	"AMACR"
"FTH1"	"AOPEP"	"HNF1B"	"APOL2"
"FTL"	"AP5Z1"	"HSPG2"	"APOL4"
"FXR1"	"APOE"	"IFNG"	"ARSA"
"FYCO1"	"APP"	"IFT172"	"ARSG"
"FZD10"	"ARVCF"	"IFT27"	"ARVCF"
"G6PC2"	"ATN1"	"IFT74"	"ATG7"
"G6PD"	"ATP13A2"	"IL1RAPL1"	"ATP2A2"
"GAB2"	"ATP1A3"	"IQSEC2"	"CAT"
"GADD45B"	"ATP6AP2"	"JMJD1C"	"CDH23"
"GADD45G"	"ATP7B"	"KCNA2"	"CEP78"
"GAGE1"	"ATXN2"	"KCNAB2"	"CHI3L1"
"GAK"	"ATXN3"	"KCNB1"	"CHRNA7"
"GAL3ST1"	"ATXN8OS"	"KCNC2"	"CIB2"
"GALNT1"	"C19orf12"	"KDM5C"	"CLRN1"
"GALNT10"	"C9orf72"	"KLLN"	"CNTNAP2"
"GALNT6"	"CAT"	"KMT2A"	"COMT"
"GALNT8"	"CBS"	"LHX1"	"DAOA"
"GAS1"	"CHCHD10"	"LIMK1"	"DNAJC13"
"GAS2L1"	"CHCHD2"	"LUZP1"	"DNMT3A"
"GAST"	"CHMP2B"	"LZTFL1"	"DRD3"
"GBP2"	"CLN3"	"MAGEL2"	"DSG4"
"GCC1"	"COASY"	"MAN1B1"	"EIF4G1"
"GCFC2"	"COMT"	"MAOA"	"ESPN"
"GCLC"	"COQ2"	"MECP2"	"FLI1"
"GDF9"	"CP"	"MED12"	"FTSJ1"
"GEM"	"CSF1R"	"MED13L"	"GBA1"
"GFAP"	"CYP27A1"	"MEIS2"	"GIGYF2"
"GFPT2"	"DCTN1"	"METTL27"	"GJA5"
"GGA1"	"DNAJC12"	"MKKS"	"GJA8"
"GGPS1"	"DNAJC13"	"MKRN3"	"GP1BB"
"GGT1"	"DNAJC5"	"MKS1"	"HARS1"
"GIMAP5"	"DNAJC6"	"MMP23B"	"HIRA"
"GJB1"	"EIF2AK2"	"NAA20"	"HTR2A"
"GLCE"	"EIF4G1"	"NAGA"	"JMJD1C"
"GLRA3"	"FBXO7"	"NCF1"	"KRT81"
"GMEB2"	"FMR1"	"NDN"	"KRT83"
"GMFB"	"FTL"	"NDP"	"KRT86"
"GMNN"	"FUS"	"NECAP1"	"LRRK2"
"GMPS"	"GABRA1"	"NFIB"	"MED12"
"GNA12"	"GABRG2"	"NHS"	"MSTO1"
"GNG12"	"GBA1"	"NIPA1"	"MT-TE"
"GOLGA1"	"GCH1"	"NIPA2"	"MT-TS2"
"GOLGA3"	"GIGYF2"	"NIPBL"	"MTHFR"
"GOLGB1"	"GP1BB"	"NLGN3"	"MYO7A"
"GOLIM4"	"GRN"	"NONO"	"NIPA1"
"GOSR1"	"HIRA"	"NPAP1"	"NIPA2"
"GPC4"	"HTRA2"	"NPHP1"	"NKX2-1"
"GPM6B"	"IMPDH2"	"NR2F1"	"PCDH15"
"GPR162"	"JAM2"	"NSUN2"	"PDZD7"
"GPR4"	"JMJD1C"	"NSUN6"	"PRODH"
"GPR65"	"JPH3"	"NTRK2"	"PSAP"
"GPRC5B"	"KCNN2"	"NUS1"	"RBM12"
"GPX3"	"KIF5A"	"OCA2"	"RREB1"
"GRB10"	"LRRK2"	"OTX2"	"RTN4R"
"GRK5"	"LYST"	"PACS2"	"SEC24C"
"GRK6"	"MAPT"	"PAH"	"SETD1A"
"GSTM4"	"MECP2"	"PAK2"	"SHANK3"
"GSTM5"	"MPO"	"PARS2"	"SLC12A2"
"GSTT2"	"MPV17"	"PDE4D"	"SNCA"
"GTF3C1"	"MT-TT"	"PDPN"	"SYN2"
"GTF3C2"	"MYORG"	"PIGA"	"TBX1"
"GTPBP1"	"NAA60"	"PIGL"	"TPM2"
"GTPBP3"	"NOS3"	"PIK3CA"	"TUBG1"
"GTPBP6"	"NOTCH3"	"PLXND1"	"UFD1"
"GTPBP8"	"NR4A2"	"PPP3CA"	"UPF3B"
"GTSE1"	"PANK2"	"PRDM16"	"USH1C"
"GUSB"	"PARK7"	"PRKCZ"	"USH1G"
"GUSBP14"	"PCBD1"	"PROKR2"	"USH2A"
"GUSBP3"	"PCDH19"	"PTCHD1"	"VPS35"
"GYPB"	"PDE10A"	"PTEN"	"WFS1"
"H1-10"	"PDGFB"	"PWAR1"	"WHRN"
"H1-2"	"PDGFRB"	"PWRN1"	"ZBTB20"
"H2AC18"	"PINK1"	"RAD21"	"ZDHHC9"
"H2AX"	"PLA2G6"	"RAI1"	"ABCB7"
"H2BC21"	"PLAU"	"RERE"	"ADGRV1"
"H2BC5"	"POLG"	"REV3L"	"AMACR"
"H3-3A"	"PPP2R2B"	"RFC2"	"APOL2"
"H4C8"	"PRKAR1B"	"RPL10"	"APOL4"
"HADHA"	"PRKN"	"RREB1"	"ARSA"
"HAPLN2"	"PRKRA"	"SATB1"	"ARSG"
"HBEGF"	"PRNP"	"SATB2"	"ARVCF"
"HBP1"	"PSAP"	"SCAPER"	"ATG7"
"HDAC1"	"PSEN1"	"SCLT1"	"ATP2A2"
"HDAC4"	"PSEN2"	"SCN1A"	"CAT"
"HDAC7"	"PTPA"	"SCN2A"	"CDH23"
"HDGF"	"PTRHD1"	"SCN3A"	"CEP78"
"HELZ"	"PTS"	"SCN8A"	"CHI3L1"
"HEPH"	"RAB39B"	"SDCCAG8"	"CHRNA7"
"HES1"	"RREB1"	"SDHB"	"CIB2"
"HFE"	"SCARB2"	"SDHC"	"CLRN1"
"HGF"	"SCN1A"	"SDHD"	"CNTNAP2"
"HIP1R"	"SCN1B"	"SEC23B"	"COMT"
"HIPK2"	"SCN2A"	"SEC24C"	"DAOA"
"HLA-DRB4"	"SCN9A"	"SEMA3E"	"DNAJC13"
"HLA-E"	"SEC24C"	"SETD2"	"DNMT3A"
"HLCS"	"SIGMAR1"	"SH2B1"	"DRD3"
"HMBS"	"SLC18A2"	"SHANK3"	"DSG4"
"HMCES"	"SLC20A2"	"SIN3A"	"EIF4G1"
"HMG20B"	"SLC30A10"	"SKI"	"ESPN"
"HMGCL"	"SLC39A14"	"SLC13A5"	"FLI1"
"HMGN3"	"SLC6A3"	"SLC1A2"	"FTSJ1"
"HMGXB4"	"SNCA"	"SLC35C1"	"GBA1"
"HMOX1"	"SNCAIP"	"SLC38A3"	"GIGYF2"
"HNRNPA1"	"SNCB"	"SLC9A6"	"GJA5"
"HNRNPH3"	"SORL1"	"SMAD4"	"GJA8"
"HNRNPM"	"SPG11"	"SMC1A"	"GP1BB"
"HOMER3"	"SPTLC1"	"SMC3"	"HARS1"
"HRH4"	"SQSTM1"	"SNORD115-1"	"HIRA"
"HS1BP3"	"STUB1"	"SNORD116-1"	"HTR2A"
"HSBP1"	"SYNJ1"	"SNRPN"	"JMJD1C"
"HSD17B7"	"TAF1"	"SOX2"	"KRT81"
"HSPB2"	"TARDBP"	"SOX3"	"KRT83"
"HSPB8"	"TBK1"	"SPEN"	"KRT86"
"HSPBAP1"	"TBP"	"SPTBN1"	"LRRK2"
"HTATIP2"	"TBX1"	"STS"	"MED12"
"HTN1"	"TH"	"STX1A"	"MSTO1"
"ICAM1"	"TK2"	"SUPT16H"	"MT-TE"
"ID3"	"TMEM106B"	"SYNGAP1"	"MT-TS2"
"IDH2"	"TMEM240"	"SYNJ1"	"MTHFR"
"IER2"	"TNR"	"SZT2"	"MYO7A"
"IFI16"	"TOMM40"	"TAF4"	"NIPA1"
"IFIT5"	"TREM2"	"TAF6"	"NIPA2"
"IFITM2"	"TRPM7"	"TAOK1"	"NKX2-1"
"IFNA7"	"TSPOAP1"	"TBCK"	"PCDH15"
"IFRD2"	"TWNK"	"TBL2"	"PDZD7"
"IGF1R"	"UBTF"	"TBR1"	"PRODH"
"IGFBP5"	"UCHL1"	"TBX1"	"PSAP"
"IGSF6"	"UFD1"	"TCF12"	"RBM12"
"IL15"	"UQCRC1"	"TMEM270"	"RREB1"
"IL1R1"	"VCP"	"TMLHE"	"RTN4R"
"IL1RAPL1"	"VPS13A"	"TRAK1"	"SEC24C"
"IL22RA1"	"VPS13C"	"TRIM32"	"SETD1A"
"IL6"	"VPS35"	"TSC1"	"SHANK3"
"IL6ST"	"WARS2"	"TSC2"	"SLC12A2"
"ILKAP"	"WDR45"	"TTC8"	"SNCA"
"ING2"	"XPR1"	"TUBG1"	"SYN2"
"ING3"	"BMP2"	"UBA5"	"TBX1"
"ING4"	"FNIP1"	"UBE3A"	"TPM2"
"INPP1"	"GAA"	"UBE4B"	"TUBG1"
"INPPL1"	"GTPBP3"	"UFD1"	"UFD1"
"INSIG1"	"IFNG"	"USF3"	"UPF3B"
"INSR"	"JAG2"	"VPS37D"	"USH1C"
"IQGAP1"	"LAMP2"	"WDPCP"	"USH1G"
"IQGAP2"	"MRPS14"	"WFS1"	"USH2A"
"IRAK1"	"MT-CO1"	"WWOX"	"VPS35"
"IRAK4"	"MT-CO2"	"YWHAG"	"WFS1"
"IRF3"	"MT-CO3"	"YY1"	"WHRN"
"IRF7"	"MT-CYB"	"ZBTB20"	"ZBTB20"
"IRS2"	"MT-ND1"	"ZFX"	"ZDHHC9"
"ITGA10"	"MT-ND4"	"AADAT"	"ABCB7"
"ITGB4"	"MT-ND5"	"AANAT"	"ADGRV1"
"ITGB5"	"MT-ND6"	"ABAT"	"AMACR"
"ITGB8"	"MT-TC"	"ABCD4"	"APOL2"
"ITIH4"	"MT-TF"	"ABL1"	"APOL4"
"ITPK1"	"MT-TH"	"ABL2"	"ARSA"
"ITPKB"	"MT-TK"	"ACACA"	"ARSG"
"ITPKC"	"MT-TL1"	"ACE"	"ARVCF"
"ITSN1"	"MT-TQ"	"ADA"	"ATG7"
"JADE1"	"MT-TS2"	"ADAM10"	"ATP2A2"
"JMJD6"	"MT-TV"	"ADGRL3"	"CAT"
"JPT2"	"MT-TW"	"ADORA2A"	"CDH23"
"JUN"	"MTFMT"	"ADRA1A"	"CEP78"
"KAT6A"	"NDUFAF1"	"ADRA1B"	"CHI3L1"
"KAT6B"	"PRKAG2"	"ADRA1D"	"CHRNA7"
"KBTBD2"	"TCAP"	"ADRB2"	"CIB2"
"KCNJ15"	"TNNI3"	"ADSS2"	"CLRN1"
"KCNK5"	"TSC1"	"AGMO"	"CNTNAP2"
"KCNMB4"	"TSC2"	"AGTR1"	"COMT"
"KCNN3"	"APAF1"	"AHCY"	"DAOA"
"KDM2A"	"ATP5F1A"	"AKR1A1"	"DNAJC13"
"KDM3A"	"ATP5F1B"	"AKR1B1"	"DNMT3A"
"KDM5A"	"ATP5F1C"	"AKR1C1"	"DRD3"
"KDM6A"	"ATP5F1D"	"AKR1C3"	"DSG4"
"KHSRP"	"ATP5F1E"	"AKT1S1"	"EIF4G1"
"KIF13B"	"ATP5MC1"	"AKT2"	"ESPN"
"KIF14"	"ATP5MC1P5"	"AKT3"	"FLI1"
"KIF2C"	"ATP5MC2"	"ALDH1L1"	"FTSJ1"
"KIF3B"	"ATP5MC3"	"ALDH1L2"	"GBA1"
"KIF5B"	"ATP5PB"	"ALDH2"	"GIGYF2"
"KITLG"	"ATP5PD"	"ALDH9A1"	"GJA5"
"KLF1"	"ATP5PF"	"ALPI"	"GJA8"
"KLF5"	"ATP5PO"	"ALPL"	"GP1BB"
"KLF7"	"CASP3"	"AMN"	"HARS1"
"KLF9"	"CASP9"	"AMPD1"	"HIRA"
"KLK13"	"COX4I1"	"AOC1"	"HTR2A"
"KMT2A"	"COX4I2"	"AOX1"	"JMJD1C"
"KPNA1"	"COX5A"	"APP"	"KRT81"
"KPNA6"	"COX5B"	"APRT"	"KRT83"
"LAMP1"	"COX6A1"	"ASMT"	"KRT86"
"LARP4"	"COX6A2"	"ATG10"	"LRRK2"
"LAT2"	"COX6B1"	"ATG101"	"MED12"
"LATS1"	"COX6B2"	"ATG12"	"MSTO1"
"LDLR"	"COX6C"	"ATG13"	"MT-TE"
"LDLRAD4"	"COX6CP3"	"ATG14"	"MT-TS2"
"LDLRAP1"	"COX7A1"	"ATG16L1"	"MTHFR"
"LGALS14"	"COX7A2"	"ATG2A"	"MYO7A"
"LGALS3BP"	"COX7A2L"	"ATG3"	"NIPA1"
"LGALS9"	"COX7B"	"ATG4A"	"NIPA2"
"LGR5"	"COX7B2"	"ATG5"	"NKX2-1"
"LHX3"	"COX7C"	"ATG7"	"PCDH15"
"LIFR"	"COX8A"	"ATIC"	"PDZD7"
"LILRA2"	"COX8C"	"BECN1"	"PRODH"
"LILRA5"	"CYC1"	"BHMT"	"PSAP"
"LIMD1"	"CYCS"	"CACNG1"	"RBM12"
"LINC02637"	"GPR37"	"CACNG2"	"RREB1"
"LIPG"	"MT-ATP6"	"CACNG3"	"RTN4R"
"LITAF"	"MT-ATP8"	"CACNG4"	"SEC24C"
"LLGL2"	"MT-ND2"	"CACNG5"	"SETD1A"
"LMBR1L"	"MT-ND3"	"CACNG6"	"SHANK3"
"LMNA"	"MT-ND4L"	"CACNG7"	"SLC12A2"
"LMNB1"	"NDUFA1"	"CACNG8"	"SNCA"
"LONP1"	"NDUFA10"	"CALM1"	"SYN2"
"LPIN1"	"NDUFA2"	"CBL"	"TBX1"
"LPL"	"NDUFA3"	"CBLIF"	"TPM2"
"LPP"	"NDUFA4"	"CBR1"	"TUBG1"
"LRCH4"	"NDUFA4L2"	"CBS"	"UFD1"
"LRP10"	"NDUFA5"	"CCT6A"	"UPF3B"
"LRP4"	"NDUFA6"	"CD320"	"USH1C"
"LRP6"	"NDUFA7"	"CDO1"	"USH1G"
"LRRC1"	"NDUFA8"	"CNR1"	"USH2A"
"LRRFIP1"	"NDUFA9"	"CNR2"	"VPS35"
"LRRFIP2"	"NDUFAB1"	"CNTN1"	"WFS1"
"LSM14A"	"NDUFB1"	"CNTN2"	"WHRN"
"LSS"	"NDUFB10"	"CNTN3"	"ZBTB20"
"LTBP2"	"NDUFB2"	"CNTN4"	"ZDHHC9"
"LTBP3"	"NDUFB3"	"CNTN5"	"ABCB7"
"LUC7L2"	"NDUFB4"	"CNTN6"	"ADGRV1"
"LYST"	"NDUFB5"	"CNTNAP1"	"AMACR"
"LZTR1"	"NDUFB6"	"CNTNAP3"	"APOL2"
"MACF1"	"NDUFB7"	"CNTNAP4"	"APOL4"
"MACROD1"	"NDUFB8"	"CPLX1"	"ARSA"
"MADCAM1"	"NDUFB9"	"CSAD"	"ARSG"
"MAFB"	"NDUFC1"	"CTH"	"ARVCF"
"MAFF"	"NDUFC2"	"CTNNB1"	"ATG7"
"MAFG"	"NDUFS1"	"CTTN"	"ATP2A2"
"MAGEB2"	"NDUFS2"	"CUBN"	"CAT"
"MAN1B1"	"NDUFS3"	"CYP2C19"	"CDH23"
"MAN2A2"	"NDUFS4"	"CYP2C9"	"CEP78"
"MAN2B1"	"NDUFS5"	"CYP2D6"	"CHI3L1"
"MAP2K2"	"NDUFS6"	"CYP3A4"	"CHRNA7"
"MAP2K3"	"NDUFS7"	"DAG1"	"CIB2"
"MAP2K7"	"NDUFS8"	"DAGLA"	"CLRN1"
"MAP3K11"	"NDUFV1"	"DAGLB"	"CNTNAP2"
"MAP3K14"	"NDUFV2"	"DBH"	"COMT"
