"Alzheimer"	"Parkinson"	"Autism"	"Schizophrenia"
"EIF6"	"CHCHD10"	"CUBN"	"NIPA1"
"ELAVL4"	"CHCHD2"	"CYP2C19"	"NIPA2"
"ELMO1"	"CHMP2B"	"CYP2C9"	"NKX2-1"
"ELMO2"	"CLN3"	"CYP2D6"	"PCDH15"
"ELOVL2"	"COASY"	"CYP3A4"	"PDZD7"
"ELOVL4"	"COMT"	"DAG1"	"PRODH"
"ENC1"	"COQ2"	"DAGLA"	"PSAP"
"ENO2"	"CP"	"DAGLB"	"RBM12"
"ENOPH1"	"CSF1R"	"DBH"	"RREB1"
"ENSA"	"CYP27A1"	"DDC"	"RTN4R"
"ENTPD3"	"DCTN1"	"DEPTOR"	"SEC24C"
"ENY2"	"DNAJC12"	"DGUOK"	"SETD1A"
"EPCAM"	"DNAJC13"	"DHFR"	"SHANK3"
"EPHA4"	"DNAJC5"	"DLG1"	"SLC12A2"
"EPHA7"	"DNAJC6"	"DLG2"	"SNCA"
"EPHB2"	"EIF2AK2"	"DLG3"	"SYN2"
"EPS15"	"EIF4G1"	"DLG4"	"TBX1"
"ERGIC2"	"FBXO7"	"DLG5"	"TPM2"
"ESD"	"FMR1"	"DLGAP1"	"TUBG1"
"ETFA"	"FTL"	"DLGAP2"	"UFD1"
"ETS2"	"FUS"	"DLGAP3"	"UPF3B"
"EXOC1"	"GABRA1"	"DLGAP4"	"USH1C"
"F8"	"GABRG2"	"DLGAP5"	"USH1G"
"F8A1"	"GBA1"	"DNMT1"	"USH2A"
"FABP3"	"GCH1"	"DRD2"	"VPS35"
"FABP7"	"GIGYF2"	"DRD4"	"WFS1"
"FAIM2"	"GP1BB"	"DRD5"	"WHRN"
"FAM106A"	"GRN"	"EGFR"	"ZBTB20"
"FAM162A"	"HIRA"	"FAAH"	"ZDHHC9"
"FAM216A"	"HTRA2"	"FAAH2"	"ABCB7"
"FAM32A"	"IMPDH2"	"FMO1"	"ADGRV1"
"FARS2"	"JAM2"	"FOLH1"	"AMACR"
"FBXL2"	"JMJD1C"	"FOLR1"	"APOL2"
"FBXO21"	"JPH3"	"FOLR2"	"APOL4"
"FBXO3"	"KCNN2"	"GABBR1"	"ARSA"
"FBXW7"	"KIF5A"	"GABRA1"	"ARSG"
"FCER1G"	"LRRK2"	"GABRA3"	"ARVCF"
"FCGR1A"	"LYST"	"GABRA4"	"ATG7"
